AGPORTID,COUNTRY,State,County Name,"County Name, State",FMRe Exposed TIV by company & county,Company Name
2,US,GA,BARROW COUNTY,"GA, BARROW COUNTY",86,Harford
2,US,SC,BEAUFORT COUNTY,"SC, BEAUFORT COUNTY",224,Harford
2,US,PA,BEAVER COUNTY,"PA, BEAVER COUNTY","1,885",Harford
2,US,PA,BEDFORD COUNTY,"PA, BEDFORD COUNTY",440,Harford
2,US,TN,BEDFORD COUNTY,"TN, BEDFORD COUNTY",518,Harford
2,US,VA,BEDFORD COUNTY,"VA, BEDFORD COUNTY",27,Harford
2,US,NJ,BERGEN COUNTY,"NJ, BERGEN COUNTY","3,349",Harford
2,US,SC,BERKELEY COUNTY,"SC, BERKELEY COUNTY",2,Harford
2,US,PA,BERKS COUNTY,"PA, BERKS COUNTY","11,378",Harford
2,US,NC,BERTIE COUNTY,"NC, BERTIE COUNTY",36,Harford
2,US,GA,BIBB COUNTY,"GA, BIBB COUNTY",953,Harford
2,US,PA,BLAIR COUNTY,"PA, BLAIR COUNTY","2,089",Harford
2,US,TN,BLOUNT COUNTY,"TN, BLOUNT COUNTY","1,710",Harford
2,US,PA,BRADFORD COUNTY,"PA, BRADFORD COUNTY",978,Harford
2,US,TN,BRADLEY COUNTY,"TN, BRADLEY COUNTY",610,Harford
2,US,VA,BRISTOL CITY,"VA, BRISTOL CITY",536,Harford
2,US,NC,BRUNSWICK COUNTY,"NC, BRUNSWICK COUNTY",89,Harford
2,US,VA,BRUNSWICK COUNTY,"VA, BRUNSWICK COUNTY",4,Harford
2,US,PA,BUCKS COUNTY,"PA, BUCKS COUNTY","30,630",Harford
2,US,GA,BULLOCH COUNTY,"GA, BULLOCH COUNTY",67,Harford
2,US,NC,BUNCOMBE COUNTY,"NC, BUNCOMBE COUNTY","5,836",Harford
2,US,NC,BURKE COUNTY,"NC, BURKE COUNTY",11,Harford
2,US,NJ,BURLINGTON COUNTY,"NJ, BURLINGTON COUNTY","14,162",Harford
2,US,PA,BUTLER COUNTY,"PA, BUTLER COUNTY","2,684",Harford
2,US,GA,BUTTS COUNTY,"GA, BUTTS COUNTY",7,Harford
2,US,NC,CABARRUS COUNTY,"NC, CABARRUS COUNTY","2,255",Harford
2,US,NC,CALDWELL COUNTY,"NC, CALDWELL COUNTY",371,Harford
2,US,MD,CALVERT COUNTY,"MD, CALVERT COUNTY","3,773",Harford
2,US,PA,CAMBRIA COUNTY,"PA, CAMBRIA COUNTY","1,587",Harford
2,US,NJ,CAMDEN COUNTY,"NJ, CAMDEN COUNTY","26,502",Harford
2,US,TN,CAMPBELL COUNTY,"TN, CAMPBELL COUNTY",57,Harford
2,US,VA,CAMPBELL COUNTY,"VA, CAMPBELL COUNTY",595,Harford
2,US,NJ,CAPE MAY COUNTY,"NJ, CAPE MAY COUNTY",406,Harford
2,US,PA,CARBON COUNTY,"PA, CARBON COUNTY",267,Harford
2,US,MD,CAROLINE COUNTY,"MD, CAROLINE COUNTY","1,240",Harford
2,US,VA,CAROLINE COUNTY,"VA, CAROLINE COUNTY",213,Harford
2,US,GA,CARROLL COUNTY,"GA, CARROLL COUNTY",9,Harford
2,US,MD,CARROLL COUNTY,"MD, CARROLL COUNTY","4,879",Harford
2,US,VA,CARROLL COUNTY,"VA, CARROLL COUNTY",701,Harford
2,US,TN,CARTER COUNTY,"TN, CARTER COUNTY",102,Harford
2,US,NC,CARTERET COUNTY,"NC, CARTERET COUNTY",49,Harford
2,US,NC,CASWELL COUNTY,"NC, CASWELL COUNTY",66,Harford
2,US,NC,CATAWBA COUNTY,"NC, CATAWBA COUNTY","3,525",Harford
2,US,GA,CATOOSA COUNTY,"GA, CATOOSA COUNTY",17,Harford
2,US,MD,CECIL COUNTY,"MD, CECIL COUNTY","16,090",Harford
2,US,PA,CENTRE COUNTY,"PA, CENTRE COUNTY",714,Harford
2,US,MD,CHARLES COUNTY,"MD, CHARLES COUNTY","6,862",Harford
2,US,SC,CHARLESTON COUNTY,"SC, CHARLESTON COUNTY",325,Harford
2,US,VA,CHARLOTTESVILLE CITY,"VA, CHARLOTTESVILLE CITY",230,Harford
2,US,GA,CHATHAM COUNTY,"GA, CHATHAM COUNTY",139,Harford
2,US,NC,CHATHAM COUNTY,"NC, CHATHAM COUNTY","1,145",Harford
2,US,TN,CHEATHAM COUNTY,"TN, CHEATHAM COUNTY",480,Harford
2,US,GA,CHEROKEE COUNTY,"GA, CHEROKEE COUNTY","6,096",Harford
2,US,NC,CHEROKEE COUNTY,"NC, CHEROKEE COUNTY",17,Harford
2,US,VA,CHESAPEAKE CITY,"VA, CHESAPEAKE CITY","6,586",Harford
2,US,PA,CHESTER COUNTY,"PA, CHESTER COUNTY","25,350",Harford
2,US,TN,CHESTER COUNTY,"TN, CHESTER COUNTY",18,Harford
2,US,VA,CHESTERFIELD COUNTY,"VA, CHESTERFIELD COUNTY","5,131",Harford
2,US,TN,CLAIBORNE COUNTY,"TN, CLAIBORNE COUNTY",150,Harford
2,US,GA,CLARKE COUNTY,"GA, CLARKE COUNTY",280,Harford
2,US,VA,CLARKE COUNTY,"VA, CLARKE COUNTY",73,Harford
2,US,NC,CLAY COUNTY,"NC, CLAY COUNTY",2,Harford
2,US,GA,CLAYTON COUNTY,"GA, CLAYTON COUNTY",374,Harford
2,US,PA,CLEARFIELD COUNTY,"PA, CLEARFIELD COUNTY",839,Harford
